county,precinct,office,district,party,candidate,votes,winner
Allegany,,President,,Democratic,Bill Clinton/Albert Gore Jr.,11501,TRUE
Allegany,,President,,Republican,George Bush/Dan Quayle,13862,
Allegany,,President,,Independent,Ross Perot/James Stockdale,5081,
Allegany,,President,,Libertarian,Andre Marrou/Nancy Lord,123,
Allegany,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,28,
Allegany,,President,,Democratic,Don Allenworth,0,
Allegany,,President,,Democratic,Willie Felix Carter,0,
Allegany,,President,,Democratic,Lyndon H. LaRouche Jr.,0,
Allegany,,President,,Taxpayers,Howard Phillips,0,
Allegany,,President,,Natural-Law,John Hagelin,0,
Allegany,,President,,Other,David Marshall Borkenhagen,0,
Allegany,,President,,Other,Thomas L. Chapman,0,
Allegany,,President,,Other,Ron Daniels,0,
Allegany,,President,,Other,Stephen Falcone,0,
Allegany,,President,,Other,Bo Gritz/Cy Minett,0,
Allegany,,President,,Other,Robert Edward Haines,0,
Allegany,,President,,Other,Americus Liberator,0,
Allegany,,President,,Other,George Muzyk,0,
Allegany,,President,,Other,Roy Wayne Tyree,0,
Allegany,,President,,Other,James A. Warren,0,
Anne Arundel,,President,,Democratic,Bill Clinton/Albert Gore Jr.,68629,TRUE
Anne Arundel,,President,,Republican,George Bush/Dan Quayle,81467,
Anne Arundel,,President,,Independent,Ross Perot/James Stockdale,35191,
Anne Arundel,,President,,Libertarian,Andre Marrou/Nancy Lord,232,
Anne Arundel,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,92,
Anne Arundel,,President,,Democratic,Don Allenworth,0,
Anne Arundel,,President,,Democratic,Willie Felix Carter,0,
Anne Arundel,,President,,Democratic,Lyndon H. LaRouche Jr.,4,
Anne Arundel,,President,,Taxpayers,Howard Phillips,0,
Anne Arundel,,President,,Natural-Law,John Hagelin,13,
Anne Arundel,,President,,Other,David Marshall Borkenhagen,0,
Anne Arundel,,President,,Other,Thomas L. Chapman,0,
Anne Arundel,,President,,Other,Ron Daniels,5,
Anne Arundel,,President,,Other,Stephen Falcone,0,
Anne Arundel,,President,,Other,Bo Gritz/Cy Minett,0,
Anne Arundel,,President,,Other,Robert Edward Haines,0,
Anne Arundel,,President,,Other,Americus Liberator,0,
Anne Arundel,,President,,Other,George Muzyk,0,
Anne Arundel,,President,,Other,Roy Wayne Tyree,0,
Anne Arundel,,President,,Other,James A. Warren,1,
Baltimore City,,President,,Democratic,Bill Clinton/Albert Gore Jr.,185753,TRUE
Baltimore City,,President,,Republican,George Bush/Dan Quayle,40725,
Baltimore City,,President,,Independent,Ross Perot/James Stockdale,17381,
Baltimore City,,President,,Libertarian,Andre Marrou/Nancy Lord,593,
Baltimore City,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,593,
Baltimore City,,President,,Democratic,Don Allenworth,0,
Baltimore City,,President,,Democratic,Willie Felix Carter,0,
Baltimore City,,President,,Democratic,Lyndon H. LaRouche Jr.,3,
Baltimore City,,President,,Taxpayers,Howard Phillips,1,
Baltimore City,,President,,Natural-Law,John Hagelin,8,
Baltimore City,,President,,Other,David Marshall Borkenhagen,0,
Baltimore City,,President,,Other,Thomas L. Chapman,0,
Baltimore City,,President,,Other,Ron Daniels,13,
Baltimore City,,President,,Other,Stephen Falcone,0,
Baltimore City,,President,,Other,Bo Gritz/Cy Minett,4,
Baltimore City,,President,,Other,Robert Edward Haines,0,
Baltimore City,,President,,Other,Americus Liberator,0,
Baltimore City,,President,,Other,George Muzyk,0,
Baltimore City,,President,,Other,Roy Wayne Tyree,0,
Baltimore City,,President,,Other,James A. Warren,13,
Baltimore,,President,,Democratic,Bill Clinton/Albert Gore Jr.,143498,TRUE
Baltimore,,President,,Republican,George Bush/Dan Quayle,126728,
Baltimore,,President,,Independent,Ross Perot/James Stockdale,51757,
Baltimore,,President,,Libertarian,Andre Marrou/Nancy Lord,999,
Baltimore,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,231,
Baltimore,,President,,Democratic,Don Allenworth,0,
Baltimore,,President,,Democratic,Willie Felix Carter,0,
Baltimore,,President,,Democratic,Lyndon H. LaRouche Jr.,0,
Baltimore,,President,,Taxpayers,Howard Phillips,0,
Baltimore,,President,,Natural-Law,John Hagelin,1,
Baltimore,,President,,Other,David Marshall Borkenhagen,0,
Baltimore,,President,,Other,Thomas L. Chapman,0,
Baltimore,,President,,Other,Ron Daniels,2,
Baltimore,,President,,Other,Stephen Falcone,0,
Baltimore,,President,,Other,Bo Gritz/Cy Minett,4,
Baltimore,,President,,Other,Robert Edward Haines,0,
Baltimore,,President,,Other,Americus Liberator,0,
Baltimore,,President,,Other,George Muzyk,0,
Baltimore,,President,,Other,Roy Wayne Tyree,0,
Baltimore,,President,,Other,James A. Warren,0,
Calvert,,President,,Democratic,Bill Clinton/Albert Gore Jr.,8619,TRUE
Calvert,,President,,Republican,George Bush/Dan Quayle,10026,
Calvert,,President,,Independent,Ross Perot/James Stockdale,4499,
Calvert,,President,,Libertarian,Andre Marrou/Nancy Lord,47,
Calvert,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,58,
Calvert,,President,,Democratic,Don Allenworth,0,
Calvert,,President,,Democratic,Willie Felix Carter,0,
Calvert,,President,,Democratic,Lyndon H. LaRouche Jr.,0,
Calvert,,President,,Taxpayers,Howard Phillips,0,
Calvert,,President,,Natural-Law,John Hagelin,0,
Calvert,,President,,Other,David Marshall Borkenhagen,0,
Calvert,,President,,Other,Thomas L. Chapman,0,
Calvert,,President,,Other,Ron Daniels,0,
Calvert,,President,,Other,Stephen Falcone,0,
Calvert,,President,,Other,Bo Gritz/Cy Minett,0,
Calvert,,President,,Other,Robert Edward Haines,0,
Calvert,,President,,Other,Americus Liberator,0,
Calvert,,President,,Other,George Muzyk,0,
Calvert,,President,,Other,Roy Wayne Tyree,0,
Calvert,,President,,Other,James A. Warren,0,
Caroline,,President,,Democratic,Bill Clinton/Albert Gore Jr.,2822,TRUE
Caroline,,President,,Republican,George Bush/Dan Quayle,3856,
Caroline,,President,,Independent,Ross Perot/James Stockdale,1729,
Caroline,,President,,Libertarian,Andre Marrou/Nancy Lord,16,
Caroline,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,34,
Caroline,,President,,Democratic,Don Allenworth,0,
Caroline,,President,,Democratic,Willie Felix Carter,0,
Caroline,,President,,Democratic,Lyndon H. LaRouche Jr.,0,
Caroline,,President,,Taxpayers,Howard Phillips,0,
Caroline,,President,,Natural-Law,John Hagelin,0,
Caroline,,President,,Other,David Marshall Borkenhagen,0,
Caroline,,President,,Other,Thomas L. Chapman,0,
Caroline,,President,,Other,Ron Daniels,2,
Caroline,,President,,Other,Stephen Falcone,0,
Caroline,,President,,Other,Bo Gritz/Cy Minett,0,
Caroline,,President,,Other,Robert Edward Haines,0,
Caroline,,President,,Other,Americus Liberator,0,
Caroline,,President,,Other,George Muzyk,0,
Caroline,,President,,Other,Roy Wayne Tyree,0,
Caroline,,President,,Other,James A. Warren,1,
Carroll,,President,,Democratic,Bill Clinton/Albert Gore Jr.,15447,TRUE
Carroll,,President,,Republican,George Bush/Dan Quayle,28405,
Carroll,,President,,Independent,Ross Perot/James Stockdale,10965,
Carroll,,President,,Libertarian,Andre Marrou/Nancy Lord,69,
Carroll,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,23,
Carroll,,President,,Democratic,Don Allenworth,0,
Carroll,,President,,Democratic,Willie Felix Carter,0,
Carroll,,President,,Democratic,Lyndon H. LaRouche Jr.,1,
Carroll,,President,,Taxpayers,Howard Phillips,8,
Carroll,,President,,Natural-Law,John Hagelin,3,
Carroll,,President,,Other,David Marshall Borkenhagen,0,
Carroll,,President,,Other,Thomas L. Chapman,0,
Carroll,,President,,Other,Ron Daniels,0,
Carroll,,President,,Other,Stephen Falcone,0,
Carroll,,President,,Other,Bo Gritz/Cy Minett,8,
Carroll,,President,,Other,Robert Edward Haines,0,
Carroll,,President,,Other,Americus Liberator,0,
Carroll,,President,,Other,George Muzyk,0,
Carroll,,President,,Other,Roy Wayne Tyree,0,
Carroll,,President,,Other,James A. Warren,0,
Cecil,,President,,Democratic,Bill Clinton/Albert Gore Jr.,10232,TRUE
Cecil,,President,,Republican,George Bush/Dan Quayle,10784,
Cecil,,President,,Independent,Ross Perot/James Stockdale,6115,
Cecil,,President,,Libertarian,Andre Marrou/Nancy Lord,117,
Cecil,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,65,
Cecil,,President,,Democratic,Don Allenworth,0,
Cecil,,President,,Democratic,Willie Felix Carter,0,
Cecil,,President,,Democratic,Lyndon H. LaRouche Jr.,0,
Cecil,,President,,Taxpayers,Howard Phillips,0,
Cecil,,President,,Natural-Law,John Hagelin,0,
Cecil,,President,,Other,David Marshall Borkenhagen,0,
Cecil,,President,,Other,Thomas L. Chapman,0,
Cecil,,President,,Other,Ron Daniels,0,
Cecil,,President,,Other,Stephen Falcone,0,
Cecil,,President,,Other,Bo Gritz/Cy Minett,6,
Cecil,,President,,Other,Robert Edward Haines,0,
Cecil,,President,,Other,Americus Liberator,0,
Cecil,,President,,Other,George Muzyk,0,
Cecil,,President,,Other,Roy Wayne Tyree,0,
Cecil,,President,,Other,James A. Warren,0,
Charles,,President,,Democratic,Bill Clinton/Albert Gore Jr.,14498,TRUE
Charles,,President,,Republican,George Bush/Dan Quayle,17293,
Charles,,President,,Independent,Ross Perot/James Stockdale,6501,
Charles,,President,,Libertarian,Andre Marrou/Nancy Lord,46,
Charles,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,111,
Charles,,President,,Democratic,Don Allenworth,0,
Charles,,President,,Democratic,Willie Felix Carter,0,
Charles,,President,,Democratic,Lyndon H. LaRouche Jr.,1,
Charles,,President,,Taxpayers,Howard Phillips,2,
Charles,,President,,Natural-Law,John Hagelin,1,
Charles,,President,,Other,David Marshall Borkenhagen,0,
Charles,,President,,Other,Thomas L. Chapman,0,
Charles,,President,,Other,Ron Daniels,1,
Charles,,President,,Other,Stephen Falcone,0,
Charles,,President,,Other,Bo Gritz/Cy Minett,0,
Charles,,President,,Other,Robert Edward Haines,0,
Charles,,President,,Other,Americus Liberator,0,
Charles,,President,,Other,George Muzyk,0,
Charles,,President,,Other,Roy Wayne Tyree,0,
Charles,,President,,Other,James A. Warren,0,
Dorchester,,President,,Democratic,Bill Clinton/Albert Gore Jr.,3933,TRUE
Dorchester,,President,,Republican,George Bush/Dan Quayle,4934,
Dorchester,,President,,Independent,Ross Perot/James Stockdale,2010,
Dorchester,,President,,Libertarian,Andre Marrou/Nancy Lord,71,
Dorchester,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,9,
Dorchester,,President,,Democratic,Don Allenworth,0,
Dorchester,,President,,Democratic,Willie Felix Carter,0,
Dorchester,,President,,Democratic,Lyndon H. LaRouche Jr.,0,
Dorchester,,President,,Taxpayers,Howard Phillips,0,
Dorchester,,President,,Natural-Law,John Hagelin,0,
Dorchester,,President,,Other,David Marshall Borkenhagen,0,
Dorchester,,President,,Other,Thomas L. Chapman,0,
Dorchester,,President,,Other,Ron Daniels,0,
Dorchester,,President,,Other,Stephen Falcone,0,
Dorchester,,President,,Other,Bo Gritz/Cy Minett,0,
Dorchester,,President,,Other,Robert Edward Haines,0,
Dorchester,,President,,Other,Americus Liberator,0,
Dorchester,,President,,Other,George Muzyk,0,
Dorchester,,President,,Other,Roy Wayne Tyree,0,
Dorchester,,President,,Other,James A. Warren,0,
Frederick,,President,,Democratic,Bill Clinton/Albert Gore Jr.,21848,TRUE
Frederick,,President,,Republican,George Bush/Dan Quayle,31290,
Frederick,,President,,Independent,Ross Perot/James Stockdale,11373,
Frederick,,President,,Libertarian,Andre Marrou/Nancy Lord,131,
Frederick,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,34,
Frederick,,President,,Democratic,Don Allenworth,0,
Frederick,,President,,Democratic,Willie Felix Carter,0,
Frederick,,President,,Democratic,Lyndon H. LaRouche Jr.,0,
Frederick,,President,,Taxpayers,Howard Phillips,4,
Frederick,,President,,Natural-Law,John Hagelin,2,
Frederick,,President,,Other,David Marshall Borkenhagen,0,
Frederick,,President,,Other,Thomas L. Chapman,0,
Frederick,,President,,Other,Ron Daniels,4,
Frederick,,President,,Other,Stephen Falcone,0,
Frederick,,President,,Other,Bo Gritz/Cy Minett,5,
Frederick,,President,,Other,Robert Edward Haines,0,
Frederick,,President,,Other,Americus Liberator,0,
Frederick,,President,,Other,George Muzyk,0,
Frederick,,President,,Other,Roy Wayne Tyree,0,
Frederick,,President,,Other,James A. Warren,0,
Garrett,,President,,Democratic,Bill Clinton/Albert Gore Jr.,2856,TRUE
Garrett,,President,,Republican,George Bush/Dan Quayle,5714,
Garrett,,President,,Independent,Ross Perot/James Stockdale,1987,
Garrett,,President,,Libertarian,Andre Marrou/Nancy Lord,18,
Garrett,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,5,
Garrett,,President,,Democratic,Don Allenworth,0,
Garrett,,President,,Democratic,Willie Felix Carter,0,
Garrett,,President,,Democratic,Lyndon H. LaRouche Jr.,0,
Garrett,,President,,Taxpayers,Howard Phillips,0,
Garrett,,President,,Natural-Law,John Hagelin,0,
Garrett,,President,,Other,David Marshall Borkenhagen,0,
Garrett,,President,,Other,Thomas L. Chapman,0,
Garrett,,President,,Other,Ron Daniels,0,
Garrett,,President,,Other,Stephen Falcone,0,
Garrett,,President,,Other,Bo Gritz/Cy Minett,0,
Garrett,,President,,Other,Robert Edward Haines,0,
Garrett,,President,,Other,Americus Liberator,0,
Garrett,,President,,Other,George Muzyk,0,
Garrett,,President,,Other,Roy Wayne Tyree,0,
Garrett,,President,,Other,James A. Warren,0,
Harford,,President,,Democratic,Bill Clinton/Albert Gore Jr.,27164,TRUE
Harford,,President,,Republican,George Bush/Dan Quayle,36350,
Harford,,President,,Independent,Ross Perot/James Stockdale,17002,
Harford,,President,,Libertarian,Andre Marrou/Nancy Lord,116,
Harford,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,45,
Harford,,President,,Democratic,Don Allenworth,0,
Harford,,President,,Democratic,Willie Felix Carter,0,
Harford,,President,,Democratic,Lyndon H. LaRouche Jr.,1,
Harford,,President,,Taxpayers,Howard Phillips,0,
Harford,,President,,Natural-Law,John Hagelin,5,
Harford,,President,,Other,David Marshall Borkenhagen,0,
Harford,,President,,Other,Thomas L. Chapman,0,
Harford,,President,,Other,Ron Daniels,1,
Harford,,President,,Other,Stephen Falcone,0,
Harford,,President,,Other,Bo Gritz/Cy Minett,3,
Harford,,President,,Other,Robert Edward Haines,0,
Harford,,President,,Other,Americus Liberator,0,
Harford,,President,,Other,George Muzyk,0,
Harford,,President,,Other,Roy Wayne Tyree,0,
Harford,,President,,Other,James A. Warren,0,
Howard,,President,,Democratic,Bill Clinton/Albert Gore Jr.,44763,TRUE
Howard,,President,,Republican,George Bush/Dan Quayle,38594,
Howard,,President,,Independent,Ross Perot/James Stockdale,16182,
Howard,,President,,Libertarian,Andre Marrou/Nancy Lord,146,
Howard,,President,,Alliance,Lenora B Fulani/Maria Elizabeth Munoz,86,
Howard,,President,,Democratic,Don Allenworth,0,
Howard,,President,,Democratic,Willie Felix Carter,0,
Howard,,President,,Democratic,Lyndon H. LaRouche Jr.,3,
Howard,,President,,Taxpayers,Howard Phillips,1,
Howard,,President,,Natural-Law,John Hagelin,9,
Howard,,President,,Other,David Marshall Borkenhagen,0,
Howard,,President,,Other,Thomas L. Chapman,0,
Howard,,President,,Other,Ron Daniels,9,
