county,precinct,office,district,party,candidate,votes,winner
Allegany,,President,,Democratic,Al Gore/Joe Lieberman,10894,TRUE
Allegany,,President,,Republican,George W. Bush/Dick Cheney,14656,
Allegany,,President,,Libertarian,Harry Browne/Art Olivier,81,
Allegany,,President,,Reform,Pat Buchanan/Ezola Foster,99,
Allegany,,President,,Green,Ralph Nader/Winona LaDuke,610,
Allegany,,President,,Constitution,Howard Phillips/J. Curtis Frazier,16,
Allegany,,President,,Democratic,Mike K. Brown,0,
Allegany,,President,,Republican,Isabell Masters,0,
Allegany,,President,,Other Candidates,John Hagelin,0,
Allegany,,President,,Unaffiliated,Alonzo Crawford,0,
Allegany,,President,,Unaffiliated,Earnest Lee Easton,0,
Allegany,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Allegany,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Allegany,,President,,Unaffiliated,Raj Alison Officewala,0,
Allegany,,President,,Unaffiliated,Daniel J. Pearlman,0,
Allegany,,President,,Unaffiliated,Jeffrey Peters,0,
Allegany,,President,,Unaffiliated,Sylvester J. Pettway,0,
Allegany,,President,,Unaffiliated,Joe Schriner,0,
Allegany,,President,,Unaffiliated,Michael F. Sterba,0,
Allegany,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Allegany,,President,,,Other Write-ins,15,
Anne Arundel,,President,,Democratic,Al Gore/Joe Lieberman,89624,TRUE
Anne Arundel,,President,,Republican,George W. Bush/Dick Cheney,104209,
Anne Arundel,,President,,Libertarian,Harry Browne/Art Olivier,601,
Anne Arundel,,President,,Reform,Pat Buchanan/Ezola Foster,426,
Anne Arundel,,President,,Green,Ralph Nader/Winona LaDuke,5493,
Anne Arundel,,President,,Constitution,Howard Phillips/J. Curtis Frazier,106,
Anne Arundel,,President,,Democratic,Mike K. Brown,0,
Anne Arundel,,President,,Republican,Isabell Masters,0,
Anne Arundel,,President,,Other Candidates,John Hagelin,23,
Anne Arundel,,President,,Unaffiliated,Alonzo Crawford,0,
Anne Arundel,,President,,Unaffiliated,Earnest Lee Easton,0,
Anne Arundel,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Anne Arundel,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Anne Arundel,,President,,Unaffiliated,Raj Alison Officewala,0,
Anne Arundel,,President,,Unaffiliated,Daniel J. Pearlman,0,
Anne Arundel,,President,,Unaffiliated,Jeffrey Peters,0,
Anne Arundel,,President,,Unaffiliated,Sylvester J. Pettway,0,
Anne Arundel,,President,,Unaffiliated,Joe Schriner,0,
Anne Arundel,,President,,Unaffiliated,Michael F. Sterba,0,
Anne Arundel,,President,,Unaffiliated,Gloria Dawn Strickland,1,
Anne Arundel,,President,,,Other Write-ins,174,
Baltimore City,,President,,Democratic,Al Gore/Joe Lieberman,158765,TRUE
Baltimore City,,President,,Republican,George W. Bush/Dick Cheney,27150,
Baltimore City,,President,,Libertarian,Harry Browne/Art Olivier,408,
Baltimore City,,President,,Reform,Pat Buchanan/Ezola Foster,335,
Baltimore City,,President,,Green,Ralph Nader/Winona LaDuke,5512,
Baltimore City,,President,,Constitution,Howard Phillips/J. Curtis Frazier,83,
Baltimore City,,President,,Democratic,Mike K. Brown,0,
Baltimore City,,President,,Republican,Isabell Masters,0,
Baltimore City,,President,,Other Candidates,John Hagelin,16,
Baltimore City,,President,,Unaffiliated,Alonzo Crawford,1,
Baltimore City,,President,,Unaffiliated,Earnest Lee Easton,0,
Baltimore City,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Baltimore City,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Baltimore City,,President,,Unaffiliated,Raj Alison Officewala,0,
Baltimore City,,President,,Unaffiliated,Daniel J. Pearlman,0,
Baltimore City,,President,,Unaffiliated,Jeffrey Peters,0,
Baltimore City,,President,,Unaffiliated,Sylvester J. Pettway,0,
Baltimore City,,President,,Unaffiliated,Joe Schriner,0,
Baltimore City,,President,,Unaffiliated,Michael F. Sterba,0,
Baltimore City,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Baltimore City,,President,,,Other Write-ins,134,
Baltimore,,President,,Democratic,Al Gore/Joe Lieberman,160635,TRUE
Baltimore,,President,,Republican,George W. Bush/Dick Cheney,133033,
Baltimore,,President,,Libertarian,Harry Browne/Art Olivier,834,
Baltimore,,President,,Reform,Pat Buchanan/Ezola Foster,689,
Baltimore,,President,,Green,Ralph Nader/Winona LaDuke,8544,
Baltimore,,President,,Constitution,Howard Phillips/J. Curtis Frazier,122,
Baltimore,,President,,Democratic,Mike K. Brown,0,
Baltimore,,President,,Republican,Isabell Masters,0,
Baltimore,,President,,Other Candidates,John Hagelin,15,
Baltimore,,President,,Unaffiliated,Alonzo Crawford,0,
Baltimore,,President,,Unaffiliated,Earnest Lee Easton,0,
Baltimore,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Baltimore,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Baltimore,,President,,Unaffiliated,Raj Alison Officewala,0,
Baltimore,,President,,Unaffiliated,Daniel J. Pearlman,0,
Baltimore,,President,,Unaffiliated,Jeffrey Peters,0,
Baltimore,,President,,Unaffiliated,Sylvester J. Pettway,0,
Baltimore,,President,,Unaffiliated,Joe Schriner,0,
Baltimore,,President,,Unaffiliated,Michael F. Sterba,0,
Baltimore,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Baltimore,,President,,,Other Write-ins,212,
Calvert,,President,,Democratic,Al Gore/Joe Lieberman,12986,TRUE
Calvert,,President,,Republican,George W. Bush/Dick Cheney,16004,
Calvert,,President,,Libertarian,Harry Browne/Art Olivier,69,
Calvert,,President,,Reform,Pat Buchanan/Ezola Foster,65,
Calvert,,President,,Green,Ralph Nader/Winona LaDuke,660,
Calvert,,President,,Constitution,Howard Phillips/J. Curtis Frazier,10,
Calvert,,President,,Democratic,Mike K. Brown,0,
Calvert,,President,,Republican,Isabell Masters,0,
Calvert,,President,,Other Candidates,John Hagelin,0,
Calvert,,President,,Unaffiliated,Alonzo Crawford,0,
Calvert,,President,,Unaffiliated,Earnest Lee Easton,0,
Calvert,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Calvert,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Calvert,,President,,Unaffiliated,Raj Alison Officewala,0,
Calvert,,President,,Unaffiliated,Daniel J. Pearlman,0,
Calvert,,President,,Unaffiliated,Jeffrey Peters,0,
Calvert,,President,,Unaffiliated,Sylvester J. Pettway,0,
Calvert,,President,,Unaffiliated,Joe Schriner,0,
Calvert,,President,,Unaffiliated,Michael F. Sterba,0,
Calvert,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Calvert,,President,,,Other Write-ins,12,
Caroline,,President,,Democratic,Al Gore/Joe Lieberman,3396,TRUE
Caroline,,President,,Republican,George W. Bush/Dick Cheney,5300,
Caroline,,President,,Libertarian,Harry Browne/Art Olivier,20,
Caroline,,President,,Reform,Pat Buchanan/Ezola Foster,31,
Caroline,,President,,Green,Ralph Nader/Winona LaDuke,198,
Caroline,,President,,Constitution,Howard Phillips/J. Curtis Frazier,1,
Caroline,,President,,Democratic,Mike K. Brown,0,
Caroline,,President,,Republican,Isabell Masters,0,
Caroline,,President,,Other Candidates,John Hagelin,1,
Caroline,,President,,Unaffiliated,Alonzo Crawford,0,
Caroline,,President,,Unaffiliated,Earnest Lee Easton,0,
Caroline,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Caroline,,President,,Unaffiliated,Rachelle OneFamily Miller,1,
Caroline,,President,,Unaffiliated,Raj Alison Officewala,0,
Caroline,,President,,Unaffiliated,Daniel J. Pearlman,0,
Caroline,,President,,Unaffiliated,Jeffrey Peters,0,
Caroline,,President,,Unaffiliated,Sylvester J. Pettway,0,
Caroline,,President,,Unaffiliated,Joe Schriner,0,
Caroline,,President,,Unaffiliated,Michael F. Sterba,0,
Caroline,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Caroline,,President,,,Other Write-ins,4,
Carroll,,President,,Democratic,Al Gore/Joe Lieberman,20146,TRUE
Carroll,,President,,Republican,George W. Bush/Dick Cheney,41742,
Carroll,,President,,Libertarian,Harry Browne/Art Olivier,209,
Carroll,,President,,Reform,Pat Buchanan/Ezola Foster,154,
Carroll,,President,,Green,Ralph Nader/Winona LaDuke,1681,
Carroll,,President,,Constitution,Howard Phillips/J. Curtis Frazier,43,
Carroll,,President,,Democratic,Mike K. Brown,0,
Carroll,,President,,Republican,Isabell Masters,0,
Carroll,,President,,Other Candidates,John Hagelin,0,
Carroll,,President,,Unaffiliated,Alonzo Crawford,0,
Carroll,,President,,Unaffiliated,Earnest Lee Easton,0,
Carroll,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Carroll,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Carroll,,President,,Unaffiliated,Raj Alison Officewala,0,
Carroll,,President,,Unaffiliated,Daniel J. Pearlman,0,
Carroll,,President,,Unaffiliated,Jeffrey Peters,0,
Carroll,,President,,Unaffiliated,Sylvester J. Pettway,0,
Carroll,,President,,Unaffiliated,Joe Schriner,0,
Carroll,,President,,Unaffiliated,Michael F. Sterba,0,
Carroll,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Carroll,,President,,,Other Write-ins,52,
Cecil,,President,,Democratic,Al Gore/Joe Lieberman,12327,TRUE
Cecil,,President,,Republican,George W. Bush/Dick Cheney,15494,
Cecil,,President,,Libertarian,Harry Browne/Art Olivier,136,
Cecil,,President,,Reform,Pat Buchanan/Ezola Foster,81,
Cecil,,President,,Green,Ralph Nader/Winona LaDuke,794,
Cecil,,President,,Constitution,Howard Phillips/J. Curtis Frazier,31,
Cecil,,President,,Democratic,Mike K. Brown,0,
Cecil,,President,,Republican,Isabell Masters,0,
Cecil,,President,,Other Candidates,John Hagelin,1,
Cecil,,President,,Unaffiliated,Alonzo Crawford,0,
Cecil,,President,,Unaffiliated,Earnest Lee Easton,0,
Cecil,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Cecil,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Cecil,,President,,Unaffiliated,Raj Alison Officewala,0,
Cecil,,President,,Unaffiliated,Daniel J. Pearlman,0,
Cecil,,President,,Unaffiliated,Jeffrey Peters,0,
Cecil,,President,,Unaffiliated,Sylvester J. Pettway,0,
Cecil,,President,,Unaffiliated,Joe Schriner,0,
Cecil,,President,,Unaffiliated,Michael F. Sterba,0,
Cecil,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Cecil,,President,,,Other Write-ins,12,
Charles,,President,,Democratic,Al Gore/Joe Lieberman,21873,TRUE
Charles,,President,,Republican,George W. Bush/Dick Cheney,21768,
Charles,,President,,Libertarian,Harry Browne/Art Olivier,74,
Charles,,President,,Reform,Pat Buchanan/Ezola Foster,77,
Charles,,President,,Green,Ralph Nader/Winona LaDuke,755,
Charles,,President,,Constitution,Howard Phillips/J. Curtis Frazier,12,
Charles,,President,,Democratic,Mike K. Brown,0,
Charles,,President,,Republican,Isabell Masters,0,
Charles,,President,,Other Candidates,John Hagelin,2,
Charles,,President,,Unaffiliated,Alonzo Crawford,0,
Charles,,President,,Unaffiliated,Earnest Lee Easton,0,
Charles,,President,,Unaffiliated,Forrest C. LaBelle/Tim Locke,0,
Charles,,President,,Unaffiliated,Rachelle OneFamily Miller,0,
Charles,,President,,Unaffiliated,Raj Alison Officewala,0,
Charles,,President,,Unaffiliated,Daniel J. Pearlman,0,
Charles,,President,,Unaffiliated,Jeffrey Peters,0,
Charles,,President,,Unaffiliated,Sylvester J. Pettway,0,
Charles,,President,,Unaffiliated,Joe Schriner,0,
Charles,,President,,Unaffiliated,Michael F. Sterba,0,
Charles,,President,,Unaffiliated,Gloria Dawn Strickland,0,
Charles,,President,,,Other Write-ins,31,
Dorchester,,President,,Democratic,Al Gore/Joe Lieberman,5232,TRUE
Dorchester,,President,,Republican,George W. Bush/Dick Cheney,5847,
